Preprocessing,Algoritma,Accuracy,Precision,Recall,F1-Score,CV-5Fold
Baseline,SVM,0.9,1.0,0.8,0.8888888888888888,0.8949999999999999
Baseline,Random Forest,1.0,1.0,1.0,1.0,0.9800000000000001
Baseline,KNN,1.0,1.0,1.0,1.0,0.9650000000000001
P1,SVM,0.975,1.0,0.95,0.9743589743589743,0.9650000000000001
P1,Random Forest,1.0,1.0,1.0,1.0,0.9800000000000001
P1,KNN,1.0,1.0,1.0,1.0,0.9650000000000001
P2,SVM,0.95,1.0,0.9,0.9473684210526315,0.8300000000000001
P2,Random Forest,1.0,1.0,1.0,1.0,0.9800000000000001
P2,KNN,0.95,1.0,0.9,0.9473684210526315,0.975
P3,SVM,0.95,1.0,0.9,0.9473684210526315,0.96
P3,Random Forest,1.0,1.0,1.0,1.0,0.9800000000000001
P3,KNN,0.95,1.0,0.9,0.9473684210526315,0.975
P4,SVM,0.95,1.0,0.9,0.9473684210526315,0.9800000000000001
P4,Random Forest,1.0,1.0,1.0,1.0,0.9800000000000001
P4,KNN,0.95,1.0,0.9,0.9473684210526315,0.9800000000000001
